Model;Query;Result;Verification Time;Memory Usage;Discovered States;Explored States;Stored States;Query Property;Extra Tokens;Verification Method;Symmetry;Search Order;Approximation Method;Approximation Constant
BeyondTheNetwork.tapn;Reach_P42;Satisfied;0.031 s;N/A;7;3;6;AG (!(deadlock) or Routings.P42 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BeyondTheNetwork.tapn;Waypoint_P8_visited;Satisfied;0.026 s;N/A;7;3;6;AG (P8_visited.P8_visited >= 1 or Routings.P42 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BeyondTheNetwork.tapn;LoopFree;Satisfied;0.022 s;N/A;7;3;6;AG P4_visited.P4_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BeyondTheNetwork.tapn;All3;Satisfied;0.025 s;N/A;7;3;6;AG ((!(deadlock) or Routings.P42 >= 1) and (P8_visited.P8_visited >= 1 or Routings.P42 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bics.tapn;Reach_P31;Satisfied;0.03 s;N/A;6;3;5;AG (!(deadlock) or Routings.P31 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bics.tapn;Waypoint_P12_visited;Satisfied;0.034 s;N/A;6;3;5;AG (P12_visited.P12_visited >= 1 or Routings.P31 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bics.tapn;LoopFree;Satisfied;0.03 s;N/A;6;3;5;AG P11_visited.P11_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bics.tapn;All3;Satisfied;0.033 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P31 >= 1) and (P12_visited.P12_visited >= 1 or Routings.P31 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BsonetEurope.tapn;Reach_P15;Satisfied;0.026 s;N/A;7;3;6;AG (!(deadlock) or Routings.P15 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BsonetEurope.tapn;Waypoint_P1_visited;Satisfied;0.025 s;N/A;7;3;6;AG (P1_visited.P1_visited >= 1 or Routings.P15 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BsonetEurope.tapn;LoopFree;Satisfied;0.021 s;N/A;7;3;6;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
